,subject,multisigs,pre_bostrom_heroes,comm_pool,cyberd_bot_sergey,delegation,euler-4,inventors,investors,lifetime,load,port,relevance,sergeandmyself_rewards,takeoff,posthuman_rewards,sum
129,bostrom17ud38eyfkd800kvw3c9kl3zpvgvj296nfszelr,,,,,,,,,,,,,20000000000.0,,,20000000000.0
130,bostrom19rtverjn8kw7dzwzch2elktxgcmak6dlqugxfw,,,,,,,,,,,,,20000000000.0,,,20000000000.0
131,bostrom1d6nkeqxmme3564wd889kr6cjed3asxqzjve0wl,,,,,,,,,,,,,20000000000.0,,,20000000000.0
132,bostrom1djdfq5mn3dzm9whpznczxz77s8ep2qggc5w5xn,,,,,,,,,,,,,20000000000.0,,,20000000000.0
133,bostrom18t3kx877vyvstcvn50cgn5w6hppe8ce0pq72m2,,,,,,18546327724.0,,,,,,,,,,18546327724.0
134,bostrom1csf3up94qheqz88fvvlwjl7vc5sdymarktrvpw,,,,,,,,,,,,,,18442151620.0,,18442151620.0
135,bostrom1kfqv2fzzu6dgwnf6snql2jslwdws07fl2gz37u,,,,,,17879700159.0,,,,,,,,,,17879700159.0
136,bostrom1ggayl03vvv763az6eez66jzwuunyqkcusk8fwj,,,,,,17754934798.0,,,,,,,,,,17754934798.0
137,bostrom1fjeq0urgk4x0s6pl2p2fes8c95426amp7lv4dv,,,,,,17601345097.0,,,,,,,,,,17601345097.0
138,bostrom1tr3eyy9l480pxjk0ygudwpfus7j8pgdljn09jm,,,,,,,,,,,,,,17537519175.0,,17537519175.0
139,bostrom16ahkkv0jzhtp73z83qlhqrypss6jpjm8eekpwv,,,,,,,,,,,,,,17375703563.0,,17375703563.0
140,bostrom1jgh7ghrcr47tuahawzvg3svv2hxkxfx5u9lzr2,,,,,,17333444802.0,,,,,,,,,,17333444802.0
141,bostrom1htq7u8gy9muv4fk6st04524tdzy8rv04528gys,,,,,,,,,,,,,,16744189104.0,,16744189104.0
142,bostrom1402rpwdquxxkgvl740f6w69l65eau5vkqcvrax,,5177873080.0,,,7159491819.0,,,,3246938813.0,,949629027.0,,,,,16533932739.0
143,bostrom1kk9clwd4eva7ww95gn4rw3xzuwfs0983sl5cwt,,,,,,,,,,,,,,16191669541.0,,16191669541.0
144,bostrom1mnfalar08dsvtwutmh43lnhx2zzmq7xhdulemj,,650057544.0,,,6402703804.0,,,,8540100989.0,,,,,,,15592862337.0
145,bostrom1s2a7rckcky6jmhncxwy0xtwf2ymg87puk6jpzz,,,,,,,,,,2752947960.0,218362161.0,2774105228.0,,9246030793.0,,14991446142.0
146,bostrom1fz799u9jc0umceng3nkjt0njxy6y3550uq06jn,,,,,,,,,,,,14973655085.0,,,,14973655085.0
147,bostrom1k7cl9ya9qq30c7m4rvg3823hrc8k80eetqvhj8,,,,,,,,,,,,,,14797976623.0,,14797976623.0
148,bostrom16d69u47km5vqdvf6fr8qyhktlacgka7fdvazr8,,,,,,,,,,,,,,14751375909.0,,14751375909.0
149,bostrom16h7tyj5p69t3r7qasunf938cx2elp38fhqc7zr,,1768330300.0,,,2062295417.0,,,,10620434968.0,,,,,,,14451060685.0
150,bostrom19y467lyhqlpa52y6snq9cxw47xhwq0th3p05r0,,,,,,14256149914.0,,,,,,,,,,14256149914.0
151,bostrom16ge9uqpqf78jdt0uz58ycalhtg59w77qm9t7d2,,,,,,14222312706.0,,,,,,,,,,14222312706.0
152,bostrom1lljcf37yxh24l3v4kwqsyghwz4ywlg6urg4kte,,,,,,11645695552.0,,,1970857840.0,,,,,,,13616553392.0
153,bostrom1cjyv02cja896rr5y5lks79enk2nretn3mqyc69,,975436233.0,,,2147705260.0,1417622893.0,,,8731817017.0,175176885.0,,,,,,13447758288.0
154,bostrom1463la66ac89tmlwgvx20c4d2jv84ekzs8kzh87,,,,,,13368713572.0,,,,,,,,,,13368713572.0
155,bostrom1zeg2k7kd8qadmwd3kslwmag3erq7hqxt5aajjz,,1865461494.0,,,5135290206.0,,,,6162279773.0,,,,,,,13163031473.0
156,bostrom1wzqyjejz5px38vgqsegafrcexl3963q9dsgqh9,,,,,,,,,,,,13098969682.0,,,,13098969682.0
157,bostrom164k2s2s2td6a30d3rvnv93scy3v29psw4j3ndm,,,,,,12701785716.0,,,,,,,,,,12701785716.0
158,bostrom1mnqlcc7mslzxcf798acp80u2fxudsuzdn0px6s,,3631810247.0,,,5378290695.0,,,,3666902099.0,,,,,,,12677003041.0
159,bostrom1rya5547x4lrwc2npd63s89ny2dvhamv9dfx9x9,,,,,,12090950492.0,,,,,,,,,,12090950492.0
160,bostrom18wn5kyxewwk6qh97493xtj9gufpmqserfahc37,,,,,,12063356572.0,,,,,,,,,,12063356572.0
161,bostrom1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3kktuh6,,4018939291.0,,,4104967246.0,,,,3851891784.0,,,,,,,11975798321.0
162,bostrom1kf0d64nuwsf2zeul5wkx78fsznplnlpsfh7fqw,,,,,,,,,,,,,,11673069511.0,,11673069511.0
