,subject,comm_pool,delegation,euler-4,lifetime,takeoff,sum
65,cyber1ldjugf3uj2gwkmmsf5japfknf96zv6hw67a9mg,,102675.0,40841467077.0,2388287319.0,,43229857071.0
66,cyber1waac73cpffx7suhpkvnn8w0a8s2cgzn677expq,,,,,42415701749.0,42415701749.0
67,cyber16macu2qtc0jmqc7txvf0wkz84cycsx72r9y539,,,,,42201602776.0,42201602776.0
68,cyber1ke7kxdn29w2lrxt9dzusa6shvmwd8xm9v7g345,,37576877634.0,,4443209216.0,,42020086850.0
69,cyber13ume6mqte5h9ngx2hh6ngc8aham7x0k65n0hpx,,,41813199988.0,,,41813199988.0
70,cyber152m9xcx0ht7yxr5834ju7qjcyvetw8amfhxxkn,,26069696989.0,,15467407648.0,,41537104637.0
71,cyber1y9zkl7uqjev899swng4eqfuurwaxpchw9e24n9,,,40330418998.0,,,40330418998.0
72,cyber16lf2hvzy4n4gvtx37pgkkdw2e2psfjjd9pp0xu,,,37988147654.0,,,37988147654.0
73,cyber1fapqgamx3c8za8d3z56sydjtjygyu0ly6vefs4,,,,,37850807372.0,37850807372.0
74,cyber1v5jqg6k7mszmchhz8kyfml5h4e2txct9k6zxvg,,,37418729590.0,,,37418729590.0
75,cyber19ys53t55r725j882gjcrnf7s449gdrds40evtg,,,36908973741.0,,,36908973741.0
76,cyber1w4548vrnvc7t9j2ly55nvkjvhwqt9thndql8e8,,,,,33395512349.0,33395512349.0
77,cyber133t8m00w7llsslnf05zdhehharntly8dy6jj86,,,,,31992273571.0,31992273571.0
78,cyber1kgq82m6z2jttytv7fvwy2rklhq5k03gcw0ktw0,,,30494554808.0,,,30494554808.0
79,cyber1smtmk8fe3qhlwj3h7nynl6p42946qydzgsp7mq,,,,,29390986364.0,29390986364.0
80,cyber1hvk6s053m6qdlz9kwllgldwf4qp2c3mrm0ktaa,,,29370149824.0,,,29370149824.0
81,cyber1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9zhkwdsx,,19689711316.0,,9472498458.0,,29162209774.0
82,cyber152kqs8p7d3jy6kn4uk87ve3alkuqjgew0ftqml,,,24799790071.0,4121615983.0,,28921406054.0
83,cyber1ch6nukdgj55c9sk4h5t8spzhahuuvn86vclx5x,,,27485323135.0,,,27485323135.0
