,subject,comm_pool,delegation,euler-4,lifetime,load,relevance,takeoff,port,sum
108,cyber1jgh7ghrcr47tuahawzvg3svv2hxkxfx5cave5h,,,17333444802.0,,,,,,17333444802.0
109,cyber1htq7u8gy9muv4fk6st04524tdzy8rv04sj5nnd,,,,,,,16744189104.0,,16744189104.0
110,cyber1kk9clwd4eva7ww95gn4rw3xzuwfs0983588rek,,,,,,,16191669541.0,,16191669541.0
111,cyber1s2a7rckcky6jmhncxwy0xtwf2ymg87pujzp64l,,,,,2752947960.0,2774105228.0,9246030793.0,218362161.0,14991446142.0
112,cyber1fz799u9jc0umceng3nkjt0njxy6y3550ccup9w,,,,,,14973655085.0,,,14973655085.0
113,cyber1mnfalar08dsvtwutmh43lnhx2zzmq7xhfyvzv0,,6402703804.0,,8540100989.0,,,,,14942804793.0
114,cyber1k7cl9ya9qq30c7m4rvg3823hrc8k80ee0clv96,,,,,,,14797976623.0,,14797976623.0
115,cyber16d69u47km5vqdvf6fr8qyhktlacgka7ff5we56,,,,,,,14751375909.0,,14751375909.0
116,cyber19y467lyhqlpa52y6snq9cxw47xhwq0th4eu05j,,,14256149914.0,,,,,,14256149914.0
117,cyber16ge9uqpqf78jdt0uz58ycalhtg59w77qlac96h,,,14222312706.0,,,,,,14222312706.0
118,cyber1lljcf37yxh24l3v4kwqsyghwz4ywlg6u8sxduy,,,11645695552.0,1970857840.0,,,,,13616553392.0
119,cyber1463la66ac89tmlwgvx20c4d2jv84ekzsrw3vsr,,,13368713572.0,,,,,,13368713572.0
120,cyber1wzqyjejz5px38vgqsegafrcexl3963q9fgmmqc,,,,,,13098969682.0,,,13098969682.0
121,cyber164k2s2s2td6a30d3rvnv93scy3v29psw32zg6x,,,12701785716.0,,,,,,12701785716.0
122,cyber16h7tyj5p69t3r7qasunf938cx2elp38fnct947,,2062295417.0,,10620434968.0,,,,,12682730385.0
123,cyber1cjyv02cja896rr5y5lks79enk2nretn3lchrdc,,2147705260.0,1417622893.0,8731817017.0,175176885.0,,,,12472322055.0
124,cyber1rya5547x4lrwc2npd63s89ny2dvhamv9f3473c,,,12090950492.0,,,,,,12090950492.0
125,cyber18wn5kyxewwk6qh97493xtj9gufpmqserd9yrxr,,,12063356572.0,,,,,,12063356572.0
126,cyber1kf0d64nuwsf2zeul5wkx78fsznplnlpsd0djhn,,,,,,,11673069511.0,,11673069511.0
127,cyber1402rpwdquxxkgvl740f6w69l65eau5vkyqlc2m,,7159491819.0,,3246938813.0,,,,949629027.0,11356059659.0
128,cyber1evz2xfd6sam0kzz5qc5lje4s90vcgyyrx6x9kx,,,,,,11323309556.0,,,11323309556.0
129,cyber1zeg2k7kd8qadmwd3kslwmag3erq7hqxts9wf9l,,5135290206.0,,6162279773.0,,,,,11297569979.0
130,cyber1d7n8znqg635yxnzlsycnt6kut8z5du5ydn0s55,,,10958899451.0,,,,,,10958899451.0
131,cyber1mzmzlzk4xpm6zy68c43e6hen98w07yhfa40ql4,,,,,,10780033350.0,,,10780033350.0
132,cyber1wt9h9wm3zf7yzsy68x7v8p973w02kw8yqysvrf,,2760107758.0,,7777346692.0,,,,,10537454450.0
133,cyber143x4d5wx50204zyreqg8ekgq3n3fcaxuu9teuu,,,,,,,,9826875134.0,9826875134.0
134,cyber16pdckvu70ufzvm8avd9anga6k35nu7axqru3eu,,,9792986284.0,,,,,,9792986284.0
135,cyber1udal5nr3lz7mg7j7k79se4rz0tsjj8lu8d8mjc,,,,,2666930610.0,7057738490.0,,,9724669100.0
136,cyber1ucl2c39dpwqm9pp6cvmlazn2tkwavszh5jdfj8,,2575695017.0,,7109962804.0,5891599.0,,,,9691549420.0
137,cyber1y83nga220nfjt9zz0mmqc90cd705az95hvtje0,,,,,,,,9608859331.0,9608859331.0
138,cyber18ghjkwygsvjcsh20tc5zzhfttxxuex7ap8nukd,,,,,,,9561458741.0,,9561458741.0
139,cyber18txzlmkqf264a2awhey6lmeq0dtv5ex6p4ej0e,,,9333557553.0,,,,,,9333557553.0
140,cyber1mnqlcc7mslzxcf798acp80u2fxudsuzdhhjadd,,5378290695.0,,3666902099.0,,,,,9045192794.0
141,cyber1pswgrf5ap0kld3lpun5z4x08wh7nmgamflgnwm,,3282151788.0,,5358993270.0,,,,,8641145058.0
142,cyber1nvr4qa7szsd3e7xfysn946gcqv5wyemlu7gakn,,5133236390.0,,3297924061.0,,,,,8431160451.0
143,cyber1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3jwc8q8,,4104967246.0,,3851891784.0,,,,,7956859030.0
144,cyber1nywu6z26tpcrr2kcqe8z7t235wrfkhfcd0vevt,,4106198982.0,,3137937218.0,,,,,7244136200.0
145,cyber1mmtt0cnsgwx3t90vs4tn9k08kw8xn4v39smjtr,,,6701991111.0,,,,,,6701991111.0
146,cyber1mryr27k3h8kqr5ahj82v0ym2xexdewfcpmggl6,,,6310270182.0,,,,,,6310270182.0
147,cyber1fpl40sref5vp8kfm7xkqlq5qc0v4xrjvjlkdeq,,53188072.0,,6083030821.0,,,,,6136218893.0
148,cyber1gg73t0eyrkqf953waqxh6uqah62p46jyvle8g7,,,5787292447.0,,,,,,5787292447.0
149,cyber184dur4s6pldvhvcyputu6yshsm09s6wmguvsst,,,,,,5728639830.0,,,5728639830.0
150,cyber19vgwu99fdawejnedgsfx8dmxuc0z4emjdxw5zg,,,,5014404214.0,,,,,5014404214.0
151,cyber1gxyf6tsjamnavmkfk43mwfzwscn4tgfkxl9urw,5000000000.0,,,,,,,,5000000000.0
152,cyber1s6v5ragv9gg3sq7j3aeqtyy82uaxv3y0s03vq6,,,,4273801138.0,,,,,4273801138.0
153,cyber1jx0az02ccnt4mgj2r9vhvycsdjsztrrgfwae5v,,,4220671315.0,,,,,,4220671315.0
154,cyber1nuc82t22xgp09rs2tdnlxxgm95pjg5ma02a4ny,,5497646.0,,3567926892.0,,,,,3573424538.0
155,cyber1r90j4656xsug2hkj57a3knqcs9huh3earlhdqu,,,3475567070.0,,,,,,3475567070.0
156,cyber1zl0t5703q42qx7drxsgl9thjwlul5x6uh2y4lw,,,2742969308.0,,,,,,2742969308.0
157,cyber15gk8edxtvvp372flljk884fav55y8ehw8yx8sn,,,,,,,2279889403.0,,2279889403.0
158,cyber1hyjhy0tp6geral2g9vj9nyteglf8t5q4ws6mx0,,,,,3927733.0,,,2184963106.0,2188890839.0
159,cyber1d8mq46wt2yxsgwrmh6hhfgycl0537w8gvsqwf5,,,,,,,,2182283065.0,2182283065.0
160,cyber1jz57cgfr248y9w6sn76l7pugjkr6e7zh7uen5u,,,,,,,2178739020.0,,2178739020.0
161,cyber13q0m4hw6pmajqdqn4g464vzmst78sf55jns6cf,,,2064986311.0,,,,,,2064986311.0
162,cyber1p0r7uxstcw8ehrwuj4kn8qzzs0yypsjwzs7wzf,,,,,26708583.0,,,1992130580.0,2018839163.0
163,cyber1hmrxmc27fu4ggdpvpxqtahn6uvtj38vucxdxch,,10268322.0,,1844228437.0,,,,,1854496759.0
164,cyber1gw5kdey7fs9wdh05w66s0h4s24tjdvtcp5fhky,,,,,43597835.0,,1755881840.0,,1799479675.0
165,cyber1kajt7sxfpnfujm7ptj90654lmwz4sftpuag6jq,,,,,,,1743792737.0,,1743792737.0
166,cyber1y6huw3naar38u4rtgqmlh9smfu93gszs0acxeu,,,,1688512495.0,,,,,1688512495.0
167,cyber15kdrahda8qcyfa9xe8kt2f737m22x2slagvfrz,,3552879.0,,1628053769.0,,,,,1631606648.0
168,cyber1uwfk6h06w8vnhmyp48vwcpgwncsec8yv46uan4,,8204799.0,,1494510816.0,,,,,1502715615.0
169,cyber16qu2ymnzzjn05xc6yszjy50caaahcahdgr2ary,,,1362390306.0,,,,,,1362390306.0
170,cyber1hqeqy4s039q0qcpayqcyaq5hyyvmph970xkqjw,,,,1190379955.0,,,,,1190379955.0
171,cyber1mj0sj4eaar5qnjn3l05ep5wgq3l6agtvgcahnt,,,,,226237413.0,951997050.0,,,1178234463.0
172,cyber1t575qeee3qgshuf964qal057z77vljqedacy0t,,,,,,,1099995800.0,,1099995800.0
173,cyber1n55zyf6wlvh8jp4wxqgx4ta283jx0e2nwn0slx,,,,,984682627.0,114773762.0,,,1099456389.0
174,cyber1a4mzr2y2g0cc9f0uhyeh3ftmsfxzqwxffcckf9,,,,,119010306.0,,,972470487.0,1091480793.0
175,cyber105zy26ze9gean4qukqlvhkv4mtcndc9tw7wl6l,,,,,,,1006206924.0,,1006206924.0
176,cyber1duc9gthaeg82lx9pdf642g043xqhgxgxl3l48l,,,,,1178320.0,,,993141688.0,994320008.0
177,cyber14h099ukgvp4fm9qs0xnmljzhevrmneq6lztyu3,,,,978084362.0,,,,,978084362.0
178,cyber1xpl2sx64ra5san4su0r0hj8z9eh5cf5du5xuhq,,,,,,,,970654649.0,970654649.0
179,cyber1hem3076xmat8ttr0cg0nnn2lghtc2p7x06jfsd,,,,,,,,951329198.0,951329198.0
180,cyber1xhk0s2ynz2sq3ak3lr4u5gg0da4vyaxkd2ynfz,,,,924447759.0,,,,,924447759.0
181,cyber1g2d9xyuf7ddgaj4llxvg50pfhlsr9ehfwm5k58,,154956147.0,,716488373.0,,,,,871444520.0
